States,1901,1911,1921,1931,1941,1951,1561,1971,1981,1991,2001,2011
Andhra Pradesh ,985,992,993,987,980,986,981,977,975,972,978,992
Arunachal Pradesh ,NA ,NA ,NA ,NA ,NA ,NA ,894,861,862,859,901,920
Assam ,919,915,896,874,875,868,869,896,910,923,932,954
Bihar ,1061,1051,1020,995,1002,1000,1005,957,948,907,921,916
Chandigarh ,771,720,743,751,763,781,652,749,769,790,773,818
Chhatisgarh ,1046,1039,1041,1043,1032,1024,1008,998,996,985,990,991
Dadra & N. Haveli ,960,967,940,911,925,946,963,1007,974,952,811,775
Daman & Diu ,995,1040,1143,1088,1080,1125,1169,1099,1062,969,709,618
Delhi ,862,793,733,722,715,768,785,801,808,827,821,866
Goa ,1091,1108,1120,1088,1084,1128,1066,981,975,967,960,968
Gujarat ,954,946,944,945,941,952,940,934,942,934,921,918
Haryana ,867,835,844,844,869,871,868,867,870,865,861,877
Himachal Pradesh ,884,889,890,897,890,912,938,958,973,976,970,974
Jammu & Kashmir ,882,876,870,865,869,873,878,878,892,896,900,883
Jharkhand ,1032,1021,1002,989,978,961,960,945,940,922,941,947
Karnataka ,983,981,969,965,960,966,959,957,963,960,964,968
Kerala ,1004,1008,1011,1022,1027,1028,1022,1016,1032,1036,1058,1084
Lakshadweep ,1063,987,1027,994,1018,1043,1020,978,975,943,947,946
Madhya Pradesh ,972,967,949,947,946,945,932,920,921,912,920,930
Maharashtra ,978,966,950,947,949,941,936,930,937,934,922,925
Manipur ,1037,1029,1041,1065,1055,1036,1015,980,971,958,978,987
Meghalaya ,1036,1013,1000,971,966,949,937,942,954,955,975,986
Mizoram ,1113,1120,1109,1102,1069,1041,1009,946,919,921,938,975
Nagaland ,973,993,992,997,1021,999,933,871,863,886,909,931
Orissa ,1037,1056,1086,1067,1053,1022,1001,988,981,971,972,978
Pondicherry ,NA ,1058,1053,NA ,NA ,1030,1013,989,985,979,1001,1038
Punjab ,832,780,799,815,836,844,854,865,879,882,874,893
Rajasthan ,905,908,896,907,906,921,908,911,919,910,922,926
Sikkim ,916,951,970,967,920,907,904,863,835,878,875,889
Tamil Nadu ,1044,1042,1029,1027,1012,1007,992,978,977,974,986,995
Tripura ,874,885,885,885,886,904,932,943,946,945,950,961
Uttar Pradesh ,938,916,908,903,907,908,907,876,882,876,898,908
Uttarakhand ,918,907,916,913,907,940,947,940,936,936,964,963
West Bengal ,945,925,905,890,852,865,878,891,911,917,934,947
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
